periodo,tipoEntidad,entidad,genero,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2020-01,BANCOS MÚLTIPLES,ADEMI,Género femenino,81244,4648422386.730006,137119495511.0447,,4518263925.009991,141659427.8400002,16915194.29,389066450.1299992,181056834.8500001,134996680.5499999
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,Género masculino,111369,22855480442.65997,458011072229.1019,,22544375456.14004,671989242.0999997,38802567.95000003,1505812659.490001,9939426190.530014,511211493.8800009
2020-01,BANCOS MÚLTIPLES,VIMENCA,No aplica,337,2149456861.740001,24360434825.96201,,2133973668.080001,19675350.98,13492492.26,162487285.44,1615443338.82,37697923.16
2020-01,BANCOS MÚLTIPLES,CITIBANK,No aplica,627,3733102302.09,34342008115.0845,,3713391191.32,0.0,0.0,1193071152.0,1796841641.68,340340690.09
2020-01,BANCOS MÚLTIPLES,POPULAR,Género masculino,474845,87901739375.1405,1680144530462.088,,87019063876.15001,2324970235.350001,90290292.57,7612832439.43,19043557484.87001,2223051973.680009
2020-01,BANCOS MÚLTIPLES,PROGRESO,No aplica,3280,18828195387.80001,188771328124.6952,,18749774081.52002,538225653.8400002,326595917.9299999,832427025.0799996,11720489210.67,417729847.5499999
2020-01,BANCOS MÚLTIPLES,ACTIVO,No aplica,248,229920251.25,3906674805.063,,227275000.0199999,33045278.99,18146890.58,7654233.9,59237924.16,14778539.50000001
2020-01,BANCOS MÚLTIPLES,BELLBANK,Género femenino,1465,120960366.1,1948891253.192501,,119272630.17,4474868.58,590125.47,4299301.590000001,16531478.87,3078926.11
2020-01,BANCOS MÚLTIPLES,BLH,No aplica,798,4923368484.35,51328995791.56648,,4894573100.590001,53127922.41000002,16717179.32,38594610.27999999,4003284493.660001,105086018.5999999
2020-01,BANCOS MÚLTIPLES,PROMERICA,No aplica,772,4527871090.630001,47014708264.3259,,4509981660.849998,31175352.73,2483192.56,845004584.2699996,2501438430.360001,94507716.0
2020-01,BANCOS MÚLTIPLES,BHD,Género masculino,371041,63449989469.38989,1177244139022.102,,62749535346.32012,2108516204.599999,133007901.42,4947048693.570001,17284857280.95001,2466987413.540002
2020-01,BANCOS MÚLTIPLES,BANESCO,Género femenino,28879,2179330991.950002,55259579294.48673,,2137879430.059999,110549781.5800001,3038222.220000001,160263757.1299999,727951686.8800001,81391153.26999994
2020-01,BANCOS MÚLTIPLES,CARIBE,Género masculino,69127,7676955201.339992,187619856061.641,,7542894139.709995,428233291.95,26570091.5,797636695.6300002,1416969773.22,338735739.8499997
2020-01,BANCOS MÚLTIPLES,ACTIVO,Género masculino,4441,600569490.599999,14976741708.47571,,582370536.6899997,62865853.33999999,12035957.45,32733481.74999999,130056615.22,39335706.61
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,No aplica,28042,201048914476.7304,1789651383169.802,,198604462384.8605,1987938784.549999,69267896.69,12540994422.03999,53329051494.95,5391145455.079981
2020-01,BANCOS MÚLTIPLES,BDI,No aplica,709,6420687051.270003,75545972526.01048,,6377131684.38,91814843.40999998,24021902.7,177456905.96,4231549915.929999,112059364.8099999
2020-01,BANCOS MÚLTIPLES,BDI,Género femenino,6899,1141665288.209999,22711813552.095,,1129483854.51,28573565.14,1331269.32,116429251.42,507828306.0700001,15064059.01
2020-01,BANCOS MÚLTIPLES,CITIBANK,Género femenino,17,2556426.0,7144584.0,,2554307.0,0.0,0.0,0.0,0.0,25564.26
2020-01,BANCOS MÚLTIPLES,LAFISE,Género femenino,255,140216010.52,1796315619.2055,,139011647.97,1402212.73,33946.0,6436309.29,59917699.19000001,2240658.82
2020-01,BANCOS MÚLTIPLES,BELLBANK,No aplica,49,147415156.16,2219685779.4068,,145820752.66,3801177.43,449382.38,8635948.23,102368714.73,6856363.160000001
2020-01,BANCOS MÚLTIPLES,VIMENCA,Género femenino,10889,1227422907.75,21791299241.5794,,1211482784.35,32824261.73,1812587.56,57685250.78999999,485747925.1499999,30921877.49999999
2020-01,BANCOS MÚLTIPLES,BHD,Género femenino,341654,35186976811.49006,698154921068.0509,,34809349609.28994,799017416.8300012,58167656.18000007,3235457439.669998,11330735489.68,1044304889.110001
2020-01,BANCOS MÚLTIPLES,BLH,Género masculino,7704,3313064318.490006,43372075967.10519,,3290548270.500001,69828487.02999999,8368372.74,113636170.78,878705841.9799999,57497095.79999996
2020-01,BANCOS MÚLTIPLES,BLH,Género femenino,6653,985284068.4200003,18964255638.07869,,977081025.5,13560201.93,3115881.21,69242489.26999998,141055168.32,27536277.79999994
2020-01,BANCOS MÚLTIPLES,PROGRESO,Género femenino,67619,6123626342.049991,157896118316.6177,,6051400437.989996,185410406.9000002,7991593.650000002,888937654.4200007,1349865862.379999,148073624.3600001
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,Género femenino,604232,62617102232.64999,1084791984348.23,,62035596613.67964,1189281937.77,170582231.8000003,4451478690.099999,25129966112.32,1404371334.740004
2020-01,BANCOS MÚLTIPLES,PROGRESO,Género masculino,90133,11198479342.90998,278901713510.2742,,11064077366.04997,516456130.6999997,177568094.0699999,1662869477.57,2503404834.85,302507099.0199999
2020-01,BANCOS MÚLTIPLES,BANESCO,Género masculino,46105,4453983776.25,111484548746.5815,,4358587018.279995,304284958.7099999,7293204.579999999,352906787.1900002,1495492952.57,196152569.8599998
2020-01,BANCOS MÚLTIPLES,ADEMI,Género masculino,87333,6889166972.199992,186656852339.0801,,6666881219.730006,300340449.7100002,25857341.30000003,489215545.529999,509231494.5400001,246764534.0299994
2020-01,BANCOS MÚLTIPLES,POPULAR,Género femenino,345843,45422660339.39996,906389445572.2883,,44979806585.83984,929771150.1400021,36850999.45999999,4309997125.630008,10421849672.99999,885939309.9600006
2020-01,BANCOS MÚLTIPLES,BANESCO,No aplica,1275,7784178481.939994,71577336192.81924,,7743860397.270003,80662582.18000002,7022193.369999999,622166358.3800001,4993460081.400001,156499323.66
2020-01,BANCOS MÚLTIPLES,LAFISE,No aplica,398,2157285489.360001,19151712121.56499,,2147103591.81,25620605.54,1236601.91,324137374.91,795818173.31,30278894.53000001
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,No aplica,1051,18453455397.5,131830147724.6361,,18375312644.92,55497164.56000002,17939003.78,778573696.36,7444243820.399995,329418629.0000001
2020-01,BANCOS MÚLTIPLES,BHD,No aplica,23956,89327403727.56003,825994925707.577,,88836249889.27,796523066.2999992,128544675.06,7901426593.209996,35891066969.58998,2124962496.679999
2020-01,BANCOS MÚLTIPLES,CARIBE,No aplica,351,2595135128.7,27909537679.51241,,2574887635.0,43770297.04000001,1662563.67,153112607.73,1788772995.09,56666493.34999999
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,Género masculino,663328,85648243262.69974,1473450281735.66,,84543071620.23965,2665263725.280007,306534619.7399998,6528979399.22,27854745872.49002,2821891468.310005
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,Género masculino,6925,874219655.3699996,24059366674.15258,,847528226.0799999,133864580.78,2056068.29,75702614.51999998,224592759.8,104698382.19
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,Género femenino,4985,340006970.6400001,9866772924.596199,,330895133.4199999,27889051.25000002,977373.2599999998,27255137.91,82891741.22,22046430.7
2020-01,BANCOS MÚLTIPLES,ACTIVO,Género femenino,3196,341870113.5899997,8077407678.202603,,333425526.9,27410220.93,2436280.81,16116609.56,118360419.36,17910541.23999999
2020-01,BANCOS MÚLTIPLES,CARIBE,Género femenino,46258,4118303563.159998,99455172892.11993,,4052719292.719995,160263553.68,11714718.34999999,390467365.5199999,663140570.79,135158034.9000001
2020-01,BANCOS MÚLTIPLES,VIMENCA,Género masculino,14650,1824615609.550001,33360688295.31718,,1796379074.349998,80888606.72000004,3554955.310000001,68342683.28999999,805831482.27,63397506.88999998
2020-01,BANCOS MÚLTIPLES,CITIBANK,Género masculino,7,1349023.0,1622992.0,,1348891.0,0.0,0.0,0.0,0.0,13490.23
2020-01,BANCOS MÚLTIPLES,POPULAR,No aplica,37073,190850390792.6397,1570472445925.682,,190020968537.3098,565066064.1199999,48259016.36000002,13242260798.59,93636595778.42004,3412095058.030005
2020-01,BANCOS MÚLTIPLES,PROMERICA,Género femenino,33503,1546561394.250001,55046205902.61984,,1515067974.62,79313593.63000003,1034597.1,291764879.8500001,120783959.01,68629458.0
2020-01,BANCOS MÚLTIPLES,BELLBANK,Género masculino,2588,266225681.7000001,4162054524.100999,,262322393.08,3589556.78,889207.5499999997,11847393.45,67748212.64999999,9981145.729999993
2020-01,BANCOS MÚLTIPLES,BDI,Género masculino,8008,2608539158.700001,44892533325.73352,,2585006332.650001,55229269.94999999,3086350.740000001,231324306.9100001,1144596520.450001,58726638.72999997
2020-01,BANCOS MÚLTIPLES,SANTA CRUZ,Género femenino,60512,4726380741.459995,104427072338.9915,,4675640772.949999,105728570.05,3392332.46,774478382.2399994,1319555257.01,122010366.85
2020-01,BANCOS MÚLTIPLES,PROMERICA,Género masculino,43112,3649358915.969999,101611649953.1881,,3584078955.45,207573792.1,2857024.029999999,610476594.8699999,678707687.23,165220846.0
2020-01,BANCOS MÚLTIPLES,SCOTIABANK,Género femenino,87781,15571863691.64001,317930629925.6979,,15372981014.61003,312077566.2799999,20446431.69,1001403789.840001,6490799255.060004,301812334.58
2020-01,BANCOS MÚLTIPLES,ADEMI,No aplica,245,1790956997.46,22692836568.3655,,1764077994.929999,16018089.91,2056639.21,12994424.5,701571633.5799999,35268992.35999999
2020-01,BANCOS MÚLTIPLES,LAFISE,Género masculino,471,423217813.8199999,5495014053.3915,,420884068.07,1678148.65,40773.35,11518483.5,145956511.33,5796779.809999999
2020-01,BANCOS MÚLTIPLES,SANTA CRUZ,No aplica,4774,16210964405.47,160371282375.901,,16145765856.20001,96020840.02000001,6229168.98,2013231344.910001,8157050665.019999,322660335.7799998
2020-01,BANCOS MÚLTIPLES,SANTA CRUZ,Género masculino,88351,10562897937.80999,215604352440.8757,,10449505191.32999,320380716.7100002,9524675.419999996,1578354297.789999,2904012716.580001,318660696.8200009
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,No aplica,459,1076290300.76,16173250568.87951,,1058063483.18,96432982.07,4884162.329999999,72362703.93,469623918.0400001,79533334.11
2020-02,BANCOS MÚLTIPLES,CITIBANK,Género masculino,6,1121700.0,683893.0,,1121643.0,0.0,0.0,0.0,0.0,11217.0
2020-02,BANCOS MÚLTIPLES,BANCAMERICA,Género femenino,5008,314885824.3899997,9441855633.124304,,305529560.6600003,34405523.64999998,680538.1,26939269.08,60009091.47000001,21990820.15000001
2020-02,BANCOS MÚLTIPLES,ACTIVO,Género masculino,4437,596537040.1699996,14885940842.17247,,575739326.8000005,64305910.10000001,9192098.43,25252730.87999999,143904365.57,41153901.64000004
2020-02,BANCOS MÚLTIPLES,ACTIVO,No aplica,243,226232037.27,3776600966.902502,,222769071.6000001,37263913.91,8880337.67,15661860.96,77470077.25,20255559.10999999
2020-02,BANCOS MÚLTIPLES,BANESCO,Género masculino,45989,4522579849.099996,112380050728.874,,4422757546.020002,335196859.0500003,6466048.090000001,390056644.6999999,1500752771.889999,205549938.4600003
2020-02,BANCOS MÚLTIPLES,ADEMI,Género masculino,87349,6874857870.55003,186443848793.8411,,6656375252.700003,300889554.86,31684416.72000002,504109391.0599986,601533349.9400003,246920647.8699991
2020-02,BANCOS MÚLTIPLES,SANTA CRUZ,No aplica,4820,16068425895.25,159558366911.0919,,15992097095.52998,92166604.66000003,7500948.02,1515320670.81,8228095463.629999,318669006.3400001
2020-02,BANCOS MÚLTIPLES,BHD,No aplica,27409,90769272342.04996,840424221578.5614,,90206247697.68027,889967239.0600005,157297061.7999999,4897942152.380001,36605176549.12994,2147571976.090003
2020-02,BANCOS MÚLTIPLES,BANESCO,No aplica,1287,7925123767.690001,73524466038.36015,,7892684548.919995,76359387.11,6037434.39,442387339.6,5134768422.279997,151673598.2200001
2020-02,BANCOS MÚLTIPLES,BLH,Género masculino,7690,3325694083.18,43327707183.51643,,3302172640.18,76789362.26999998,5418478.8,134050739.45,1653184681.36,58397970.00000003
2020-02,BANCOS MÚLTIPLES,ADEMI,No aplica,248,1791754603.599999,22517243804.068,,1763976763.139999,45892184.78,2247498.77,30425126.75,681280817.8099998,37267408.03999999
2020-02,BANCOS MÚLTIPLES,PROGRESO,No aplica,3319,18196604263.04999,180004713241.2784,,18086677268.71999,989064521.45,713015831.4199997,811797861.5699999,11526335889.99,477868888.1700005
2020-02,BANCOS MÚLTIPLES,LAFISE,No aplica,409,2255071454.680001,20381360444.7343,,2244714713.77,6720293.1,198851.43,276286794.2999999,943324464.3200002,30728017.94
2020-02,BANCOS MÚLTIPLES,BELLBANK,Género femenino,1453,129462443.66,2070197507.6205,,127680383.6,4820048.03,648209.69,13641706.56,25658553.5,3800913.459999999
2020-02,BANCOS MÚLTIPLES,BANCAMERICA,No aplica,438,1051228023.0,15992085062.3,,1030140137.0,113132785.0,2688353.0,14327058.72,462204353.35,35799394.80999999
2020-02,BANCOS MÚLTIPLES,PROMERICA,Género femenino,33326,1533925505.02,54053122794.04,,1502091066.620001,73502112.67999998,1067669.01,305910068.02,117100113.84,64157053.0
2020-02,BANCOS MÚLTIPLES,BANRESERVAS,No aplica,28113,200372970683.6899,1769018050002.682,,197764382137.8004,1764552521.65,72332781.55999994,8849546272.279999,53326233358.10002,5470267096.57
2020-02,BANCOS MÚLTIPLES,BANRESERVAS,Género femenino,608598,62707524190.59003,1095609474731.807,,62101135808.66002,1188913553.819999,178217339.3900002,4549709624.850008,25374706436.76999,1417748570.09
2020-02,BANCOS MÚLTIPLES,SCOTIABANK,No aplica,1075,18031638513.91999,129075155109.9483,,17951716109.44999,123555879.2,89776981.88,446767668.86,7542423437.299999,322363803.9499999
2020-02,BANCOS MÚLTIPLES,VIMENCA,No aplica,325,2228418610.14,24577948592.844,,2212479619.87,26793688.01,10552201.82,228517359.28,1718358870.26,36968400.44000001
2020-02,BANCOS MÚLTIPLES,SCOTIABANK,Género femenino,87543,15552289899.50999,318081360544.2975,,15341006745.31997,318031402.16,22267318.39,839871544.4100014,6347010302.719997,303108184.1700003
2020-02,BANCOS MÚLTIPLES,PROGRESO,Género femenino,67534,6143090626.509999,158214100365.0628,,6059135461.160004,194861803.9299998,12142151.04000001,838582234.7600005,1415092064.139999,152306479.6300002
2020-02,BANCOS MÚLTIPLES,PROGRESO,Género masculino,90033,11219579403.32998,279206624031.0502,,11064590620.72,454105336.2100005,82843978.92999998,1557098962.379998,2529693779.640001,315939383.2500002
2020-02,BANCOS MÚLTIPLES,BDI,Género femenino,6783,1142592295.809999,22669679181.82901,,1129299940.96,29097959.74000001,1576984.78,127317646.3300001,480815715.9599999,15378104.34
2020-02,BANCOS MÚLTIPLES,BHD,Género masculino,370427,64109059753.79987,1181550289489.183,,63361298710.46015,2117543950.489998,135109894.4,5240227621.520001,17282228255.48001,2444935958.739991
2020-02,BANCOS MÚLTIPLES,BDI,Género masculino,7811,2589558535.56,44400143373.37749,,2563186437.900001,67990651.93000002,17913711.87,192537054.3199999,1116296939.04,59698278.42999998
2020-02,BANCOS MÚLTIPLES,CITIBANK,Género femenino,14,2010640.0,5479758.0,,2008828.0,0.0,0.0,0.0,0.0,20106.4
