periodo,tipoEntidad,entidad,clasificacionRiesgo,tipoCartera,cantidadPlastico,cantidadCredito,deuda,tasaPorDeuda,tasaPromedioPonderado,deudaCapital,deudaVencida,deudaVencidaDe31A90Dias,valorDesembolso,valorGarantia,valorProvisionCapitalYRendimiento
2020-01,BANCOS MÚLTIPLES,ACTIVO,B,Créditos de consumo,0,264,58403036.51,1247156012.4536,21.35430085454644,56488699.90999999,3633433.89,3633433.89,312500.0,15120146.86,2530692.310000001
2020-01,BANCOS MÚLTIPLES,ADEMI,A,Créditos Hipotecarios,0,658,1012836405.329999,13497034074.945,13.32597643994386,1000604411.66,0.0,0.0,6840000.0,6880698.92,9533175.83
2020-01,BANCOS MÚLTIPLES,ACTIVO,A,Créditos de consumo,0,2553,441129431.3999997,8332747027.415096,18.88957397598637,436696138.3999999,0.0,0.0,29868563.62,104315744.31,4788454.560000001
2020-01,BANCOS MÚLTIPLES,ACTIVO,C,Créditos de consumo,0,111,14876859.74,284808906.0586,19.14442369129979,14272188.61,1726132.05,1726132.05,0.0,1909787.32,2885121.58
2020-01,BANCOS MÚLTIPLES,ADEMI,B,Créditos de consumo,0,1786,61468582.52999999,1927420263.853999,31.35618529861679,57380328.65999995,5600538.949999998,5600538.949999998,33849.99,433038.03,1835396.900000001
2020-01,BANCOS MÚLTIPLES,ACTIVO,A,Créditos Hipotecarios,0,50,95603684.43,1230143693.0495,12.86711595252585,94840178.98999998,0.0,0.0,0.0,90366504.61,956036.28
2020-01,BANCOS MÚLTIPLES,ACTIVO,A,Créditos comerciales,126,489,276401450.7899999,5185946500.120997,18.76237076650186,274318302.2699999,0.0,0.0,13191986.41,67324232.98,2764025.45
2020-01,BANCOS MÚLTIPLES,ACTIVO,A,Tarjetas de créditos,3553,2918,111248806.53,5616394144.270007,50.4849833400726,108129442.11,0.0,0.0,12957105.66000001,0.0,1112500.99
2020-01,BANCOS MÚLTIPLES,ACTIVO,C,Créditos comerciales,9,23,19231402.87,320550856.52,16.66809533796636,18916385.32,15182547.98,15182547.98,26207.29,646071.55,3846280.58
2020-01,BANCOS MÚLTIPLES,ADEMI,C,Créditos de consumo,0,672,21603432.71999999,673118791.0835,31.15795530310982,19621380.95999999,3726442.610000002,3726442.610000002,0.0,238378.71,4275394.68
2020-01,BANCOS MÚLTIPLES,ACTIVO,C,Tarjetas de créditos,94,90,4293627.490000001,222547540.7199999,51.83205605011624,3750869.12,3670948.89,0.0,7771.17,0.0,759563.2
2020-01,BANCOS MÚLTIPLES,ACTIVO,D1,Créditos Hipotecarios,0,2,3070212.83,38073902.04,12.40106277583369,2964071.4,3070212.83,0.0,0.0,3070212.83,29640.71
2020-01,BANCOS MÚLTIPLES,ADEMI,C,Créditos comerciales,231,1609,133934676.34,3001823682.939501,22.41259519169792,126127972.03,11969070.36,11948015.47999999,3246565.51,61937958.05,15705593.74999998
2020-01,BANCOS MÚLTIPLES,ACTIVO,B,Créditos comerciales,14,61,29306946.89999999,666417964.4514999,22.73924904990701,28657189.47,10191199.88,10191199.88,5641.2,1454828.37,875197.65
2020-01,BANCOS MÚLTIPLES,ACTIVO,B,Créditos Hipotecarios,0,13,9931153.8,152691728.8405,15.37502408234781,9656692.649999999,122258.58,122258.58,0.0,9463128.94,223341.63
2020-01,BANCOS MÚLTIPLES,ADEMI,A,Créditos de consumo,0,43653,2610709345.489999,72988483714.51704,27.95733804707317,2554636720.69,0.0,0.0,146919054.06,141348783.94,26107098.26000002
2020-01,BANCOS MÚLTIPLES,ACTIVO,D2,Créditos de consumo,0,78,10829620.87,243821541.4315,22.51431923225767,9977723.79,9890960.97,26132.17,0.0,943530.24,6001834.32
2020-01,BANCOS MÚLTIPLES,ADEMI,C,Tarjetas de créditos,351,348,4195206.549999999,250504058.28,59.71197253207951,3657383.56,3858285.06,0.0,0.0,0.0,737618.1100000006
2020-01,BANCOS MÚLTIPLES,ACTIVO,D1,Créditos comerciales,2,13,12631976.42,231718012.72,18.34376545804223,12193204.23,11631976.42,14018.2,0.0,6843200.0,2214041.19
2020-01,BANCOS MÚLTIPLES,ADEMI,B,Créditos Hipotecarios,0,8,7732016.43,113824291.75,14.72116527176081,7463257.359999999,157894.51,157894.51,0.0,0.0,231960.5
2020-01,BANCOS MÚLTIPLES,ADEMI,D1,Créditos comerciales,545,3422,236530290.4899998,5599602940.236002,23.67393592015542,217606214.9500003,101794656.94,2094707.76,7996712.700000004,114302454.86,44611366.65999992
2020-01,BANCOS MÚLTIPLES,ACTIVO,B,Tarjetas de créditos,238,218,6679298.360000001,363442544.8600001,54.41328194538086,6081631.350000001,0.0,0.0,99549.86,0.0,200380.41
2020-01,BANCOS MÚLTIPLES,ACTIVO,D1,Tarjetas de créditos,262,235,13679106.93,706688449.9500003,51.66188506064995,11167788.03,12931897.72,0.0,0.0,0.0,4491889.960000001
2020-01,BANCOS MÚLTIPLES,ADEMI,D2,Créditos comerciales,311,2517,107917269.6600001,3279610568.439501,30.39004395470822,97247244.12000002,74112047.47999991,280217.2,4267462.75,24392733.79,44842765.86999998
2020-01,BANCOS MÚLTIPLES,ACTIVO,D2,Tarjetas de créditos,141,126,5564056.039999998,303113502.9800001,54.47707585993332,4023583.850000001,5556886.999999998,0.0,0.0,0.0,2414556.22
2020-01,BANCOS MÚLTIPLES,ADEMI,E,Créditos comerciales,98,2435,136458571.14,3835816238.884999,28.1097494048185,113339076.59,131964563.73,71175.09999999999,2019358.61,31706876.79,99426352.11999997
2020-01,BANCOS MÚLTIPLES,ACTIVO,E,Créditos comerciales,2,11,8812207.22,164256193.958,18.63962000180926,8326935.01,4844774.78,1500000.0,0.0,3988215.56,6224868.46
2020-01,BANCOS MÚLTIPLES,ADEMI,D2,Créditos de consumo,0,998,25500425.56,870209184.3144995,34.12528086117553,22325304.7,21885016.68000001,6042.98,0.0,0.0,13413237.16
2020-01,BANCOS MÚLTIPLES,ADEMI,D1,Tarjetas de créditos,757,756,9186976.019999996,549590827.0199997,59.82282154906506,7688179.569999998,8869280.589999994,0.0,0.0,0.0,3086539.770000001
2020-01,BANCOS MÚLTIPLES,ACTIVO,D1,Créditos de consumo,0,152,12609316.65,287889516.437,22.83149233443987,11892130.47,9668513.780000001,223406.09,35000.0,1413516.24,4437617.1
2020-01,BANCOS MÚLTIPLES,ADEMI,B,Tarjetas de créditos,630,621,9417480.160000006,550109959.6800001,58.41371049726743,8515097.250000006,0.0,0.0,35191.04,0.0,282524.7000000001
2020-01,BANCOS MÚLTIPLES,BANESCO,A,Créditos Hipotecarios,0,398,1683736246.43,14745369048.33,8.757529024866201,1675243821.2,0.0,0.0,7800600.0,1532304036.729999,16546936.64
2020-01,BANCOS MÚLTIPLES,ACTIVO,E,Tarjetas de créditos,381,361,15663510.33,877733495.8599998,56.03683193408406,9697263.330000004,15663397.67,0.0,0.0,0.0,9697263.330000004
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,B,Créditos comerciales,8,38,168849421.38,2874623737.5475,17.02477695246633,165704618.19,774172.19,774172.19,917829.34,85469169.24,3356135.0
2020-01,BANCOS MÚLTIPLES,ADEMI,B,Créditos comerciales,454,3697,793641916.71,13024944148.84951,16.41161319054785,771961085.5500014,20830743.69,20786189.49,8964494.200000003,222554583.36,19361530.11999999
2020-01,BANCOS MÚLTIPLES,ADEMI,E,Créditos de consumo,0,996,38481639.53999999,1073089194.9965,27.88574519755246,33267262.09,34321521.82,10233.38,0.0,373950.21,33100800.02000001
2020-01,BANCOS MÚLTIPLES,ADEMI,E,Tarjetas de créditos,186,184,3039104.290000001,180991527.7200001,59.55423389567194,2500928.560000001,3039104.290000001,0.0,0.0,0.0,2500928.560000001
2020-01,BANCOS MÚLTIPLES,ACTIVO,D2,Créditos comerciales,2,18,13267531.26,276656641.94,20.8521567817282,12579295.03,6756732.77,0.0,0.0,0.0,7563200.46
2020-01,BANCOS MÚLTIPLES,ADEMI,C,Créditos Hipotecarios,0,2,917005.4400000001,18527911.2,20.20479965745896,853158.91,73701.44,73701.44,0.0,0.0,183401.09
2020-01,BANCOS MÚLTIPLES,BANESCO,B,Tarjetas de créditos,1121,1367,49750538.23000001,2964357031.099999,59.58442132616901,44063810.16,0.0,0.0,27219.18,22616.12,1492064.03
2020-01,BANCOS MÚLTIPLES,ADEMI,A,Tarjetas de créditos,12398,12126,146230482.29,7802129642.940001,53.35501545749569,142273511.61,0.0,0.0,60567880.75000001,0.0,1462306.0
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,C,Tarjetas de créditos,143,155,13048084.96,767106996.3200002,58.79077264377347,11503377.8,6831325.729999999,0.0,259267.46,0.0,2782570.95
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,A,Créditos Hipotecarios,0,76,176394731.86,2471521608.0384,14.011311913782,175034212.05,0.0,0.0,0.0,169815736.19,1721581.1
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,A,Créditos comerciales,130,432,784004263.5200001,10912323367.40751,13.91870411318131,777112439.0499992,1420325.36,0.0,83018621.21,254700713.54,17529395.77
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,C,Créditos de consumo,0,83,14687073.2,314813224.3115,21.43471473346371,13979650.54,951259.5000000001,951259.5000000001,4000.0,1119106.31,2806363.82
2020-01,BANCOS MÚLTIPLES,ACTIVO,E,Créditos de consumo,0,99,9126618.07,208026015.665,22.7933298040377,8441350.270000001,8779478.05,0.0,0.0,795838.93,8008280.960000002
2020-01,BANCOS MÚLTIPLES,ADEMI,D1,Créditos de consumo,0,1392,39214474.00999997,1247667017.7505,31.81649248775685,34855916.16,29471726.36,74015.9,0.0,52036.78000000001,13965169.95
2020-01,BANCOS MÚLTIPLES,BANESCO,D1,Créditos de consumo,0,1191,104603445.8,2203913027.213999,21.06922014240184,99333300.65000005,80900952.43,361163.4500000001,2202137.59,903457.42,40239295.62
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,A,Tarjetas de créditos,5444,6212,276670662.29,14343456718.63,51.84307074667537,269337192.3599998,378208.52,0.0,77328367.73999998,561759.8,3316845.58
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D1,Créditos de consumo,0,117,35940021.31,754464311.503,20.9923167545,33587886.39000001,31071045.71,168345.6,0.0,0.0,17735747.82
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,B,Tarjetas de créditos,186,217,20178084.7,1045841499.26,51.83056344589534,18321982.77,0.0,0.0,17500.34,0.0,692285.6100000001
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,B,Créditos de consumo,0,111,24603773.16999999,497900253.4392002,20.23674377092301,23779830.14999999,880403.9,880403.9,0.0,1763913.06,702943.1599999999
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D1,Créditos comerciales,23,59,151200569.9599999,2804028388.2025,18.54509139049082,146473094.47,74575311.19000001,88040.89,6223556.63,83197332.96,46902910.08
2020-01,BANCOS MÚLTIPLES,ADEMI,A,Créditos comerciales,10019,90489,7923179238.649998,215604325667.2109,27.21184504011637,7722062926.929994,0.0,0.0,650385850.5500007,787620895.510001,79231801.95999973
2020-01,BANCOS MÚLTIPLES,ADEMI,D2,Tarjetas de créditos,454,452,6334243.020000001,380044379.52,59.99838943975345,5220222.929999996,6325798.930000001,0.0,0.0,0.0,3132133.949999997
2020-01,BANCOS MÚLTIPLES,BANESCO,E,Créditos de consumo,0,254,25035804.45,495650043.576,19.79764798714107,23790966.59,20294388.1,5518.85,1035925.87,2627866.37,21776469.24
2020-01,BANCOS MÚLTIPLES,BHD,C,Créditos de consumo,0,5945,778137129.8399997,13850136615.5983,17.79909489532541,752381800.7000004,51454981.88000005,51454981.88000005,5843734.5,151728729.36,128208769.0999999
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D2,Créditos comerciales,0,10,22338104.18,441737836.64,19.77508176524227,20938262.79,19473664.69,0.0,415405.46,2058496.47,11929310.0
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,C,Créditos comerciales,6,35,153565505.91,1937835409.214,12.61894979429629,150058979.87,4498376.470000001,4498376.470000001,177293.07,110686983.41,10824160.59
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D2,Créditos de consumo,0,98,13213415.19,283786956.0983,21.47718451419523,12332258.77,12617919.13,20742.0,0.0,1164057.05,6939854.0
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D1,Tarjetas de créditos,240,258,38137869.03,2196577981.800001,57.5957188397739,32677581.82999999,38124767.93,0.0,0.0,0.0,13169783.0
2020-01,BANCOS MÚLTIPLES,ADEMI,D2,Créditos Hipotecarios,0,1,17574.02,316332.36,18.0,15554.83,17574.02,0.0,0.0,17574.02,3110.98
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D1,Créditos Hipotecarios,0,2,2770755.47,36823498.92,13.29005728535113,2626741.75,2647112.73,0.0,0.0,2697214.27,470316.83
2020-01,BANCOS MÚLTIPLES,BANRESERVAS,A,Tarjetas de créditos,489926,528874,8885113268.099997,509360637439.1633,57.32742195509293,8685395569.860014,0.0,0.0,4433621008.130002,0.0,88851345.06999995
2020-01,BANCOS MÚLTIPLES,BHD,C,Tarjetas de créditos,2787,2974,102317497.1300001,6048135276.959993,59.11144668907902,88506895.01000004,86853669.85000005,0.0,1733964.77,0.0,18040040.44999999
2020-01,BANCOS MÚLTIPLES,BANESCO,B,Créditos de consumo,0,831,107977983.67,2100175522.6935,19.45003463957997,104300508.89,3317198.2,3317198.2,97193.76,20051045.34,2873574.969999999
2020-01,BANCOS MÚLTIPLES,BANCAMERICA,D2,Tarjetas de créditos,172,198,13228233.12,672212597.22,50.81650671877485,11658824.29,13131481.92,0.0,0.0,53132.43,7463655.859999999
